"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-12",,,,,,,,,,,,,"0.03",",,0,0700","0.0","P,,0","0.0","P,,0",,,"83",",,0","68",",,0","74",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-13",,,,,,,,,,,,,"0.78",",,0,0700","0.0","P,,0","0.0","P,,0",,,"96",",,0","63",",,0","66",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-14",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"95",",,0","65",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-15",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","73",",,0","74",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-16",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"99",",,0","72",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-17",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"96",",,0","70",",,0","71",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-18",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"95",",,0","71",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-19",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","68",",,0","69",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-20",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"84",",,0","69",",,0","70",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-06-21",,,,,,,,,,,,,"0.05",",,0,0700","0.0","P,,0","0.0","P,,0",,,"84",",,0","66",",,0","68",",,0,0700",,
